order_id,customer_id,order_date,category,order_channel,net_revenue,contribution_margin,discount_ratio,returned
O0036822,C01005,2022-01-02,grocery,web,47.11,9.03,0.0666,0
O0037307,C01019,2022-01-02,beauty,app,42.46,8.91,0.2529,0
O0037969,C01040,2022-01-02,beauty,app,25.37,3.42,0.35,0
O0038145,C01043,2022-01-02,grocery,web,76.83,16.13,0.0874,0
O0042662,C01169,2022-01-02,home,app,70.14,14.1,0.1534,0
O0043953,C01202,2022-01-02,beauty,web,66.85,14.73,0.1681,0
O0045278,C01240,2022-01-02,electronics,web,85.3,22.73,0.0699,0
O0046458,C01265,2022-01-02,fashion,assisted,159.52,38.39,0.1389,0
O0046853,C01277,2022-01-02,beauty,app,42.35,7.04,0.2026,0
O0046913,C01278,2022-01-02,grocery,app,82.87,21.16,0.2894,0
O0048421,C01322,2022-01-02,home,web,78.49,18.9,0.1117,0
O0049855,C01365,2022-01-02,home,web,123.48,29.64,0.0841,0
O0001252,C00041,2022-01-03,beauty,web,61.31,13.21,0.272,0
O0006145,C00173,2022-01-03,home,app,25.11,4.3,0.0429,0
O0006507,C00183,2022-01-03,grocery,app,65.71,14.87,0.2566,0
O0006937,C00195,2022-01-03,fashion,app,65.27,14.92,0.0449,0
O0008695,C00243,2022-01-03,fashion,web,87.55,19.13,0.0797,0
O0010124,C00275,2022-01-03,home,app,63.79,10.0,0.1026,0
O0010398,C00283,2022-01-03,beauty,app,45.53,9.0,0.081,0
O0010495,C00284,2022-01-03,beauty,app,102.03,26.95,0.103,0
O0011005,C00300,2022-01-03,electronics,app,76.36,13.24,0.0597,0
O0011997,C00329,2022-01-03,grocery,assisted,62.83,11.78,0.2899,0
O0013125,C00369,2022-01-03,electronics,web,116.98,24.69,0.2319,0
O0013411,C00374,2022-01-03,beauty,app,79.58,0.5,0.17,1
O0013633,C00378,2022-01-03,beauty,app,79.4,19.17,0.2272,0
O0014538,C00407,2022-01-03,beauty,web,69.95,14.07,0.193,0
O0014841,C00416,2022-01-03,fashion,app,73.18,12.82,0.0519,0
O0016014,C00446,2022-01-03,grocery,app,33.89,5.79,0.1335,0
O0016189,C00451,2022-01-03,fashion,app,54.21,11.28,0.0556,0
O0018403,C00510,2022-01-03,electronics,web,91.53,22.56,0.1419,0
O0018487,C00511,2022-01-03,beauty,app,83.35,18.54,0.3334,0
O0019089,C00523,2022-01-03,beauty,web,47.32,11.24,0.0942,0
O0021020,C00574,2022-01-03,fashion,app,56.89,7.45,0.0531,0
O0023287,C00647,2022-01-03,fashion,web,74.29,20.1,0.0669,0
O0023288,C00647,2022-01-03,home,app,72.26,16.11,0.1541,0
O0023393,C00649,2022-01-03,grocery,web,43.24,6.89,0.3426,0
O0026767,C00736,2022-01-03,grocery,web,101.79,23.68,0.0788,0
O0029411,C00802,2022-01-03,fashion,app,53.56,10.23,0.1346,0
O0029527,C00805,2022-01-03,beauty,app,58.24,13.82,0.0149,0
O0029714,C00809,2022-01-03,beauty,app,54.43,10.26,0.4227,0
O0029919,C00815,2022-01-03,fashion,web,76.15,15.55,0.2893,0
O0030275,C00827,2022-01-03,home,web,58.56,0.5,0.1101,1
O0031372,C00862,2022-01-03,grocery,web,60.05,8.58,0.1705,0
O0033373,C00917,2022-01-03,grocery,app,105.58,27.87,0.1322,0
O0034802,C00949,2022-01-03,home,web,96.06,17.97,0.1085,0
O0037270,C01017,2022-01-03,beauty,app,67.9,0.5,0.1672,1
O0037741,C01035,2022-01-03,beauty,app,113.7,30.14,0.2269,0
O0038027,C01041,2022-01-03,beauty,web,70.25,15.41,0.0513,0
O0039887,C01092,2022-01-03,home,assisted,136.8,29.26,0.1546,0
O0040494,C01107,2022-01-03,fashion,web,63.74,11.61,0.434,0
O0042073,C01156,2022-01-03,grocery,web,57.46,14.19,0.1394,0
O0042833,C01175,2022-01-03,home,web,108.84,31.8,0.0208,0
O0043931,C01201,2022-01-03,home,web,69.85,16.01,0.0233,0
O0044320,C01214,2022-01-03,beauty,app,59.37,12.84,0.2623,0
O0044762,C01227,2022-01-03,home,app,107.61,26.27,0.1186,0
O0045598,C01246,2022-01-03,beauty,app,56.43,12.03,0.2979,0
O0046032,C01253,2022-01-03,home,app,53.68,8.59,0.2891,0
O0048204,C01315,2022-01-03,beauty,web,37.26,6.97,0.4147,0
O0049483,C01355,2022-01-03,home,app,37.38,4.82,0.24,0
O0050641,C01383,2022-01-03,grocery,app,172.92,48.73,0.1328,0
O0000639,C00026,2022-01-04,grocery,app,58.13,11.94,0.183,0
O0002377,C00074,2022-01-04,electronics,app,101.31,20.19,0.0281,0
O0003668,C00103,2022-01-04,beauty,web,78.3,18.68,0.3351,0
O0004270,C00119,2022-01-04,fashion,app,49.11,8.27,0.1584,0
O0005593,C00156,2022-01-04,grocery,app,84.77,19.13,0.0859,0
O0005828,C00163,2022-01-04,fashion,app,64.94,11.78,0.0749,0
O0007747,C00217,2022-01-04,grocery,app,57.48,14.09,0.1422,0
O0009279,C00259,2022-01-04,beauty,web,79.6,20.03,0.1295,0
O0015135,C00424,2022-01-04,fashion,web,129.61,30.67,0.0022,0
O0015779,C00442,2022-01-04,grocery,app,147.47,36.85,0.0521,0
O0016069,C00448,2022-01-04,home,app,68.09,15.37,0.0926,0
O0016094,C00449,2022-01-04,fashion,app,65.66,13.34,0.1786,0
O0016334,C00454,2022-01-04,electronics,app,147.1,39.56,0.0673,0
O0016401,C00455,2022-01-04,beauty,app,61.89,14.83,0.1443,0
O0016721,C00464,2022-01-04,home,app,72.68,16.75,0.1438,0
O0017451,C00482,2022-01-04,fashion,app,78.52,15.58,0.0871,0
O0017546,C00484,2022-01-04,grocery,app,66.82,11.99,0.1184,0
O0020675,C00563,2022-01-04,electronics,app,24.61,0.81,0.4109,0
O0021747,C00595,2022-01-04,grocery,web,96.74,27.4,0.0235,0
O0021823,C00596,2022-01-04,electronics,web,72.74,18.1,0.0967,0
O0022196,C00612,2022-01-04,fashion,web,89.27,16.0,0.23,0
O0023037,C00638,2022-01-04,fashion,app,49.18,8.39,0.2412,0
O0023253,C00645,2022-01-04,fashion,app,65.92,11.55,0.3352,0
O0025852,C00718,2022-01-04,fashion,web,75.56,19.26,0.1069,0
O0026920,C00739,2022-01-04,home,app,53.36,10.39,0.1413,0
O0027985,C00766,2022-01-04,electronics,app,60.61,15.18,0.1066,0
O0031179,C00855,2022-01-04,fashion,web,67.89,14.47,0.016,0
O0031897,C00878,2022-01-04,home,app,47.4,10.84,0.3061,0
O0034302,C00938,2022-01-04,grocery,app,47.63,8.77,0.1313,0
O0035235,C00963,2022-01-04,fashion,app,105.44,25.61,0.085,0
O0036533,C00998,2022-01-04,grocery,app,104.03,29.38,0.1226,0
O0039712,C01086,2022-01-04,grocery,app,49.33,9.53,0.1296,0
O0043615,C01191,2022-01-04,home,app,68.65,11.38,0.1231,0
O0045037,C01234,2022-01-04,electronics,app,37.64,4.54,0.3115,0
O0045838,C01251,2022-01-04,electronics,app,84.78,19.89,0.0546,0
O0046236,C01261,2022-01-04,beauty,assisted,65.92,13.59,0.1379,0
O0048926,C01338,2022-01-04,grocery,app,59.74,11.33,0.0365,0
O0048986,C01341,2022-01-04,electronics,web,52.43,12.31,0.1952,0
O0050579,C01382,2022-01-04,beauty,app,81.37,21.86,0.1382,0
O0050793,C01387,2022-01-04,home,app,119.35,21.41,0.1625,0
O0003459,C00097,2022-01-05,grocery,app,44.13,7.94,0.3605,0
O0003511,C00098,2022-01-05,electronics,app,58.52,11.47,0.1045,0
O0006886,C00193,2022-01-05,grocery,web,57.96,14.3,0.0601,0
O0008109,C00227,2022-01-05,grocery,app,87.99,21.63,0.0813,0
O0008244,C00230,2022-01-05,electronics,app,89.0,22.88,0.1305,0
O0009278,C00259,2022-01-05,electronics,app,86.75,23.14,0.0796,0
O0010354,C00282,2022-01-05,home,app,70.07,14.91,0.1692,0
O0012496,C00347,2022-01-05,fashion,app,101.35,21.51,0.2465,0
O0012768,C00356,2022-01-05,beauty,app,70.08,13.17,0.061,0
O0016068,C00448,2022-01-05,fashion,app,55.27,11.39,0.067,0
O0017118,C00474,2022-01-05,fashion,web,65.47,13.35,0.0924,0
O0017777,C00489,2022-01-05,grocery,app,66.81,0.5,0.1479,1
O0018052,C00498,2022-01-05,beauty,web,82.57,13.8,0.1197,0
O0018486,C00511,2022-01-05,electronics,web,51.21,8.71,0.1237,0
O0020191,C00549,2022-01-05,home,web,58.77,10.95,0.2437,0
O0020213,C00550,2022-01-05,home,web,58.68,12.8,0.3089,0
O0020285,C00552,2022-01-05,grocery,app,98.1,20.35,0.0927,0
O0021196,C00582,2022-01-05,electronics,app,96.84,19.32,0.0441,0
O0022072,C00608,2022-01-05,fashion,web,65.33,0.5,0.2145,1
O0025176,C00697,2022-01-05,grocery,web,100.38,19.31,0.0402,0
O0025240,C00700,2022-01-05,grocery,app,64.72,13.83,0.1198,0
O0025766,C00716,2022-01-05,beauty,web,51.42,9.05,0.1019,0
O0027889,C00764,2022-01-05,grocery,web,76.96,18.66,0.071,0
O0028336,C00773,2022-01-05,beauty,app,63.89,12.12,0.1371,0
O0028966,C00793,2022-01-05,beauty,app,51.95,9.1,0.3008,0
O0029142,C00796,2022-01-05,grocery,app,96.13,20.31,0.1286,0
O0029858,C00813,2022-01-05,electronics,app,37.86,4.58,0.1809,0
O0031119,C00852,2022-01-05,home,web,42.7,6.48,0.1102,0
O0032952,C00903,2022-01-05,grocery,app,65.83,11.94,0.1646,0
O0034282,C00937,2022-01-05,electronics,assisted,61.5,10.38,0.2515,0
O0035231,C00963,2022-01-05,grocery,app,110.94,27.95,0.0158,0
O0036072,C00985,2022-01-05,grocery,web,68.57,17.09,0.1389,0
O0036439,C00995,2022-01-05,beauty,app,45.03,6.92,0.0822,0
O0038649,C01054,2022-01-05,grocery,app,68.24,14.5,0.1844,0
O0040436,C01105,2022-01-05,grocery,app,84.95,26.96,0.1455,0
O0040548,C01108,2022-01-05,electronics,app,50.54,0.5,0.0851,1
O0041665,C01145,2022-01-05,electronics,app,140.22,34.95,0.2352,0
O0042416,C01164,2022-01-05,beauty,web,109.86,27.23,0.0918,0
O0043952,C01202,2022-01-05,electronics,app,69.34,14.2,0.3409,0
O0045553,C01245,2022-01-05,grocery,web,36.49,5.15,0.1299,0
O0046163,C01256,2022-01-05,fashion,web,63.72,9.66,0.3275,0
O0046489,C01266,2022-01-05,fashion,app,44.33,0.5,0.0691,1
O0046507,C01267,2022-01-05,electronics,web,37.6,7.49,0.1346,0
O0048295,C01317,2022-01-05,home,app,91.84,23.63,0.0122,0
O0048654,C01329,2022-01-05,electronics,assisted,34.9,6.64,0.0907,0
O0050684,C01386,2022-01-05,electronics,web,122.63,32.85,0.1603,0
O0000968,C00035,2022-01-06,fashion,web,73.85,20.2,0.1364,0
O0001624,C00052,2022-01-06,fashion,web,50.57,10.74,0.3687,0
O0005353,C00150,2022-01-06,electronics,web,110.69,28.92,0.0978,0
O0008794,C00244,2022-01-06,home,web,49.12,9.76,0.075,0
O0012864,C00362,2022-01-06,beauty,app,65.6,14.67,0.2241,0
O0014537,C00407,2022-01-06,fashion,app,24.73,2.2,0.3516,0
O0015044,C00422,2022-01-06,grocery,app,89.63,23.34,0.0861,0
O0015716,C00439,2022-01-06,fashion,app,61.17,9.65,0.1569,0
O0016888,C00469,2022-01-06,fashion,web,62.2,17.65,0.0711,0
O0016966,C00471,2022-01-06,fashion,web,57.98,8.54,0.0879,0
O0018776,C00517,2022-01-06,beauty,app,29.38,3.82,0.4092,0
O0020775,C00568,2022-01-06,beauty,app,37.82,5.4,0.3536,0
O0021374,C00587,2022-01-06,electronics,app,69.17,19.42,0.2029,0
O0022028,C00604,2022-01-06,electronics,app,49.84,4.45,0.0748,0
O0026423,C00730,2022-01-06,grocery,app,164.53,43.78,0.0816,0
O0026766,C00736,2022-01-06,grocery,app,40.23,4.1,0.4295,0
O0027122,C00744,2022-01-06,grocery,app,48.37,9.35,0.0792,0
O0027683,C00758,2022-01-06,fashion,app,89.15,15.71,0.1048,0
O0027756,C00760,2022-01-06,home,web,121.13,32.93,0.3099,0
O0027984,C00766,2022-01-06,home,web,61.9,12.94,0.2411,0
O0035916,C00979,2022-01-06,grocery,web,68.95,0.5,0.381,1
O0036050,C00984,2022-01-06,grocery,app,116.84,0.5,0.0843,1
O0038026,C01041,2022-01-06,home,web,46.97,7.35,0.1602,0
O0038547,C01052,2022-01-06,home,web,84.45,18.63,0.1798,0
O0039211,C01069,2022-01-06,electronics,app,79.93,0.5,0.1235,1
O0039884,C01092,2022-01-06,electronics,web,33.31,4.56,0.0721,0
O0040352,C01102,2022-01-06,home,app,42.48,8.09,0.0527,0
O0041284,C01129,2022-01-06,fashion,web,68.84,15.29,0.1875,0
O0042303,C01161,2022-01-06,beauty,app,277.41,72.06,0.0257,0
O0042813,C01174,2022-01-06,home,app,42.97,5.45,0.3246,0
O0042881,C01177,2022-01-06,electronics,app,106.78,23.1,0.0845,0
O0043616,C01191,2022-01-06,beauty,assisted,89.83,12.9,0.2437,0
O0043951,C01202,2022-01-06,electronics,app,112.68,21.79,0.1666,0
O0044866,C01230,2022-01-06,fashion,app,76.12,16.84,0.0195,0
O0045226,C01239,2022-01-06,grocery,web,80.2,18.63,0.105,0
O0049625,C01360,2022-01-06,grocery,app,139.07,34.43,0.1708,0
O0001625,C00052,2022-01-07,fashion,app,51.45,10.65,0.2668,0
O0001771,C00058,2022-01-07,home,web,86.45,16.95,0.2641,0
O0004364,C00123,2022-01-07,home,app,89.17,22.87,0.1603,0
O0005197,C00145,2022-01-07,beauty,web,97.93,23.12,0.0663,0
O0006341,C00176,2022-01-07,beauty,app,82.72,23.25,0.1745,0
O0006452,C00180,2022-01-07,fashion,web,44.51,7.95,0.0265,0
O0007263,C00204,2022-01-07,beauty,web,88.61,26.83,0.2349,0
O0007496,C00208,2022-01-07,grocery,web,106.34,22.55,0.1234,0
O0007617,C00212,2022-01-07,beauty,web,119.84,0.5,0.1021,1
O0011502,C00313,2022-01-07,grocery,web,67.53,14.37,0.2576,0
O0012497,C00347,2022-01-07,home,web,48.41,4.94,0.2004,0
O0013004,C00364,2022-01-07,electronics,app,44.26,8.27,0.3634,0
O0014149,C00394,2022-01-07,home,app,84.47,14.95,0.0662,0
O0014678,C00412,2022-01-07,electronics,app,91.01,18.82,0.0415,0
O0015615,C00437,2022-01-07,beauty,app,37.8,7.5,0.2312,0
O0016190,C00451,2022-01-07,electronics,app,56.13,10.08,0.0563,0
O0016889,C00469,2022-01-07,electronics,web,88.74,23.98,0.0573,0
O0017776,C00489,2022-01-07,fashion,app,77.8,15.39,0.0551,0
O0017907,C00494,2022-01-07,fashion,app,42.03,7.13,0.45,0
O0018402,C00510,2022-01-07,home,web,117.28,35.27,0.0309,0
O0022463,C00620,2022-01-07,home,app,69.84,15.68,0.0855,0
O0022813,C00633,2022-01-07,beauty,web,74.98,17.18,0.2011,0
O0023420,C00650,2022-01-07,home,app,49.9,0.5,0.3179,1
O0025956,C00721,2022-01-07,grocery,assisted,92.2,25.76,0.0897,0
O0026421,C00730,2022-01-07,home,web,209.73,58.65,0.1653,0
O0026786,C00737,2022-01-07,home,app,69.65,14.5,0.2389,0
O0027454,C00753,2022-01-07,beauty,app,42.28,0.5,0.2989,1
O0028159,C00769,2022-01-07,beauty,web,69.78,15.0,0.1639,0
O0029140,C00796,2022-01-07,home,web,26.77,3.64,0.3745,0
O0034715,C00946,2022-01-07,electronics,web,42.17,7.11,0.2731,0
O0035382,C00966,2022-01-07,electronics,web,147.62,38.66,0.0431,0
O0036973,C01009,2022-01-07,electronics,app,38.23,5.29,0.45,0
O0037434,C01025,2022-01-07,home,app,87.83,20.91,0.0406,0
O0037450,C01026,2022-01-07,home,web,83.0,17.29,0.1591,0
O0037707,C01033,2022-01-07,beauty,web,38.62,7.4,0.1993,0
O0039701,C01085,2022-01-07,beauty,app,72.55,8.52,0.1684,0
O0041817,C01151,2022-01-07,beauty,web,76.62,0.5,0.1203,1
O0041898,C01153,2022-01-07,beauty,app,81.25,19.05,0.0529,0
O0042131,C01157,2022-01-07,home,app,80.68,22.97,0.0332,0
O0050685,C01386,2022-01-07,grocery,app,75.36,20.77,0.2513,0
O0000937,C00034,2022-01-08,electronics,app,144.33,34.24,0.0555,0
O0001577,C00051,2022-01-08,grocery,web,81.11,17.46,0.0607,0
O0001799,C00059,2022-01-08,grocery,web,90.79,20.72,0.1053,0
O0002057,C00066,2022-01-08,home,app,54.77,10.64,0.2668,0
O0004856,C00134,2022-01-08,fashion,app,58.5,0.5,0.0375,1
O0005351,C00150,2022-01-08,grocery,app,120.29,30.37,0.2154,0
O0005993,C00167,2022-01-08,electronics,app,61.74,8.58,0.2066,0
O0014005,C00392,2022-01-08,electronics,web,80.41,17.15,0.0944,0
O0015045,C00422,2022-01-08,home,web,54.8,11.76,0.0796,0
O0018361,C00509,2022-01-08,home,app,129.65,33.07,0.0149,0
O0018888,C00518,2022-01-08,beauty,app,87.31,18.02,0.1687,0
O0020092,C00548,2022-01-08,beauty,web,43.53,7.69,0.2325,0
O0021821,C00596,2022-01-08,grocery,app,57.14,9.99,0.0805,0
O0022844,C00634,2022-01-08,electronics,web,75.54,13.66,0.0627,0
O0023759,C00659,2022-01-08,beauty,app,83.4,16.19,0.0988,0
O0024208,C00671,2022-01-08,home,app,55.44,13.27,0.0293,0
O0024736,C00685,2022-01-08,grocery,app,34.53,2.95,0.1901,0
O0025005,C00693,2022-01-08,electronics,app,46.66,9.7,0.1453,0
O0030583,C00835,2022-01-08,home,web,58.35,10.49,0.2502,0
O0032198,C00886,2022-01-08,beauty,app,67.8,14.45,0.1974,0
O0033311,C00912,2022-01-08,electronics,web,19.42,0.5,0.3662,0
O0033456,C00918,2022-01-08,grocery,app,64.03,15.89,0.1678,0
O0034283,C00937,2022-01-08,grocery,app,57.3,10.55,0.1495,0
O0034886,C00952,2022-01-08,fashion,web,52.93,8.62,0.012,0
O0035528,C00970,2022-01-08,home,app,51.89,10.87,0.1742,0
O0036320,C00991,2022-01-08,beauty,app,34.43,4.46,0.2039,0
O0036972,C01009,2022-01-08,grocery,app,71.78,10.09,0.02,0
O0037935,C01039,2022-01-08,grocery,app,128.69,30.66,0.0643,0
O0038786,C01058,2022-01-08,fashion,web,73.61,17.17,0.2158,0
O0039615,C01081,2022-01-08,grocery,web,37.8,4.77,0.2223,0
O0040626,C01110,2022-01-08,home,app,71.09,12.96,0.1332,0
O0040837,C01116,2022-01-08,grocery,web,59.84,14.4,0.0426,0
O0046033,C01253,2022-01-08,home,app,30.3,5.22,0.2984,0
O0046034,C01253,2022-01-08,fashion,app,96.48,21.79,0.0631,0
O0046129,C01255,2022-01-08,beauty,app,48.78,10.69,0.2884,0
O0046988,C01280,2022-01-08,grocery,web,41.68,7.04,0.2872,0
O0047366,C01292,2022-01-08,electronics,app,85.55,0.5,0.3626,1
O0047535,C01296,2022-01-08,fashion,app,53.38,10.76,0.1217,0
O0047970,C01309,2022-01-08,home,web,89.03,24.75,0.176,0
O0047971,C01309,2022-01-08,beauty,app,133.55,33.14,0.1505,0
O0048655,C01329,2022-01-08,grocery,app,117.51,22.87,0.347,0
O0000407,C00016,2022-01-09,grocery,app,95.51,0.5,0.1815,1
O0005119,C00141,2022-01-09,beauty,app,65.05,15.02,0.2495,0
O0006936,C00195,2022-01-09,home,app,52.71,10.43,0.1586,0
O0007512,C00209,2022-01-09,fashion,web,94.3,22.22,0.1627,0
O0007569,C00210,2022-01-09,beauty,app,93.8,19.22,0.07,0
O0007748,C00217,2022-01-09,home,app,52.26,10.61,0.0735,0
O0007824,C00218,2022-01-09,beauty,web,63.5,15.51,0.1609,0
O0008850,C00247,2022-01-09,electronics,app,67.19,15.0,0.1392,0
O0011086,C00303,2022-01-09,electronics,app,98.47,20.76,0.1676,0
O0012704,C00353,2022-01-09,grocery,assisted,88.17,21.0,0.1024,0
O0015011,C00420,2022-01-09,grocery,assisted,63.69,10.78,0.1131,0
O0018775,C00517,2022-01-09,grocery,app,35.84,0.5,0.2615,1
O0018925,C00519,2022-01-09,electronics,app,90.4,25.7,0.2977,0
O0019030,C00522,2022-01-09,fashion,app,71.16,14.5,0.243,0
O0019475,C00533,2022-01-09,fashion,web,71.67,13.44,0.0217,0
O0021938,C00598,2022-01-09,home,app,80.83,0.5,0.1144,1
O0022240,C00615,2022-01-09,home,web,93.52,25.71,0.0169,0
O0024397,C00678,2022-01-09,fashion,web,44.43,6.85,0.2571,0
O0026422,C00730,2022-01-09,electronics,app,105.22,0.5,0.0246,1
O0026424,C00730,2022-01-09,fashion,web,80.55,17.31,0.0424,0
O0028439,C00777,2022-01-09,home,app,126.44,27.15,0.1324,0
O0028541,C00779,2022-01-09,electronics,app,59.41,8.56,0.2208,0
O0029337,C00799,2022-01-09,grocery,app,59.88,11.02,0.1684,0
O0029716,C00809,2022-01-09,beauty,web,92.88,22.65,0.0499,0
O0031373,C00862,2022-01-09,beauty,app,53.41,9.37,0.3587,0
O0032693,C00895,2022-01-09,fashion,web,44.4,7.01,0.1729,0
O0033969,C00929,2022-01-09,electronics,app,89.45,21.55,0.0512,0
O0034587,C00943,2022-01-09,fashion,app,73.2,0.5,0.1505,1
O0034625,C00944,2022-01-09,fashion,web,82.95,20.45,0.1504,0
O0035365,C00965,2022-01-09,beauty,app,53.04,6.63,0.0445,0
O0038130,C01042,2022-01-09,grocery,web,61.21,10.99,0.1066,0
O0039790,C01089,2022-01-09,electronics,web,89.92,23.45,0.1676,0
O0041666,C01145,2022-01-09,electronics,web,67.5,0.5,0.1606,1
O0043137,C01182,2022-01-09,electronics,app,81.27,19.07,0.1805,0
O0043521,C01189,2022-01-09,home,app,49.32,10.38,0.254,0
O0044077,C01206,2022-01-09,beauty,app,101.82,24.4,0.0394,0
O0044232,C01210,2022-01-09,electronics,assisted,154.1,40.83,0.0692,0
O0044277,C01211,2022-01-09,home,app,47.15,6.73,0.3549,0
O0048365,C01319,2022-01-09,grocery,app,83.63,16.58,0.1985,0
