customer_id,acquisition_date,acquisition_channel,region
C00142,2021-11-14,paid_search,north
C00143,2021-07-11,organic,central
C00144,2020-05-17,organic,south
C00145,2021-08-23,affiliate,north
C00146,2020-03-19,organic,central
C00147,2021-03-05,paid_search,central
C00148,2020-12-29,paid_search,north
C00149,2021-01-22,organic,west
C00150,2021-01-14,organic,central
C00151,2020-01-23,organic,south
C00152,2021-01-05,referral,central
C00153,2021-11-14,paid_search,west
C00154,2020-11-14,paid_search,central
C00155,2020-07-21,organic,central
C00156,2021-12-27,paid_search,south
C00157,2020-03-13,organic,central
C00158,2020-12-20,paid_search,central
C00159,2021-01-09,affiliate,west
C00160,2020-12-14,paid_search,central
C00161,2021-11-03,organic,south
C00162,2020-11-03,organic,south
C00163,2021-12-11,organic,west
C00164,2020-02-18,paid_search,west
C00165,2021-06-19,referral,central
C00166,2021-03-08,organic,central
C00167,2020-06-24,paid_search,north
C00168,2020-06-15,affiliate,south
C00169,2021-06-09,organic,west
C00170,2021-04-10,organic,central
C00171,2021-03-22,organic,north
C00172,2020-02-07,affiliate,central
C00173,2021-03-12,paid_search,central
C00174,2021-12-17,affiliate,west
C00175,2020-01-13,referral,north
C00176,2020-12-08,affiliate,south
C00177,2020-12-26,referral,south
C00178,2021-10-16,affiliate,west
C00179,2020-07-25,referral,north
C00180,2020-12-13,referral,west
C00181,2021-06-07,affiliate,south
C00182,2020-02-14,affiliate,south
C00183,2021-08-07,referral,north
C00184,2021-08-23,paid_search,central
C00185,2021-06-09,paid_search,south
C00186,2021-04-18,paid_search,central
C00187,2021-06-29,referral,central
C00188,2021-07-24,paid_search,central
C00189,2021-10-21,affiliate,central
C00190,2020-11-08,affiliate,north
C00191,2020-11-28,referral,central
C00192,2021-04-10,organic,north
C00193,2020-05-20,affiliate,west
C00194,2021-09-17,affiliate,west
C00195,2021-07-16,referral,central
C00196,2021-04-05,referral,north
C00197,2020-08-08,paid_search,north
C00198,2020-09-10,paid_search,central
C00199,2020-11-13,organic,west
C00200,2021-04-28,referral,central
C00201,2021-07-21,organic,north
C00202,2021-05-05,affiliate,north
C00203,2021-11-09,affiliate,north
C00204,2021-12-02,paid_search,west
C00205,2021-05-29,organic,south
C00206,2020-09-27,organic,central
C00207,2021-03-13,referral,central
C00208,2020-11-06,paid_search,west
C00209,2021-04-04,organic,central
C00210,2021-08-15,affiliate,west
C00211,2020-09-26,organic,west
C00212,2021-01-04,referral,central
C00213,2020-02-03,organic,west
C00214,2021-06-21,organic,central
C00215,2020-12-23,organic,south
C00216,2020-12-01,paid_search,north
C00217,2021-01-23,paid_search,central
C00218,2020-06-06,affiliate,north
C00219,2021-03-12,paid_search,north
C00220,2021-06-27,organic,north
C00221,2020-09-12,organic,central
C00222,2020-04-05,organic,central
C00223,2020-10-09,referral,central
C00224,2020-05-24,organic,central
C00225,2020-09-29,referral,west
C00226,2021-04-02,organic,west
C00227,2020-03-23,organic,north
C00228,2021-06-29,organic,central
C00229,2020-06-12,organic,south
C00230,2021-10-15,affiliate,south
C00231,2021-06-18,paid_search,central
C00232,2020-07-17,organic,south
C00233,2021-02-15,affiliate,north
C00234,2020-03-21,paid_search,central
C00235,2020-03-13,referral,south
C00236,2021-11-28,referral,south
C00237,2021-08-08,affiliate,west
C00238,2020-04-22,affiliate,north
C00239,2020-07-25,affiliate,north
C00240,2020-05-24,paid_search,north
C00241,2020-10-15,affiliate,north
C00242,2020-07-31,organic,north
C00243,2020-08-27,affiliate,central
C00244,2021-01-21,referral,central
C00245,2020-05-18,organic,south
C00246,2021-10-06,referral,central
C00247,2021-06-15,referral,north
C00248,2021-07-09,organic,south
C00249,2020-05-03,paid_search,north
C00250,2021-05-31,referral,west
C00251,2021-09-02,referral,north
C00252,2020-05-07,organic,central
C00253,2021-07-02,organic,west
C00254,2020-09-18,affiliate,central
C00255,2021-07-28,organic,south
C00256,2020-12-15,organic,south
C00257,2021-08-08,organic,north
C00258,2020-04-17,organic,south
C00259,2020-10-11,paid_search,west
C00260,2020-07-18,affiliate,west
C00261,2020-06-30,paid_search,central
C00262,2020-08-13,affiliate,central
C00263,2020-10-06,paid_search,south
C00264,2020-04-02,organic,central
C00265,2021-05-31,organic,central
C00266,2021-02-05,organic,north
C00267,2021-08-28,organic,north
C00268,2021-05-29,organic,central
C00269,2020-04-18,organic,north
C00270,2020-02-21,organic,north
C00271,2020-11-04,affiliate,north
C00272,2020-12-17,paid_search,west
C00273,2020-06-24,referral,north
C00274,2021-07-25,affiliate,north
C00275,2021-02-28,paid_search,central
C00276,2021-06-30,organic,central
C00277,2020-03-20,paid_search,west
C00278,2021-08-18,organic,west
C00279,2020-05-30,paid_search,central
C00280,2020-11-23,paid_search,central
C00281,2020-11-16,paid_search,central
C00282,2021-08-22,organic,north
C00283,2020-07-21,affiliate,central
C00284,2020-06-24,referral,north
C00285,2020-09-04,affiliate,north
C00286,2020-09-20,paid_search,central
C00287,2020-05-12,paid_search,north
C00288,2020-05-08,organic,north
C00289,2020-06-17,affiliate,central
C00290,2020-12-07,paid_search,central
C00291,2020-09-07,organic,north
C00292,2020-10-13,organic,north
C00293,2021-06-08,referral,north
C00294,2020-06-24,paid_search,north
C00295,2021-10-26,paid_search,south
C00296,2021-07-02,paid_search,west
C00297,2020-05-07,paid_search,central
C00298,2020-08-17,paid_search,central
C00299,2020-05-13,organic,south
C00300,2020-07-18,paid_search,south
C00301,2020-09-23,affiliate,north
C00302,2020-04-05,organic,north
C00303,2020-01-11,affiliate,central
C00304,2020-11-16,organic,central
C00305,2021-05-26,affiliate,north
C00306,2020-08-09,paid_search,central
C00307,2021-09-20,affiliate,central
C00308,2020-09-26,paid_search,central
C00309,2021-10-19,referral,central
C00310,2020-06-21,paid_search,south
C00311,2021-01-28,affiliate,central
C00312,2021-07-11,affiliate,north
C00313,2020-02-13,organic,north
C00314,2021-11-09,organic,west
C00315,2020-09-23,paid_search,central
C00316,2020-12-29,organic,north
C00317,2021-04-03,paid_search,central
C00318,2021-04-14,paid_search,south
C00319,2020-01-18,paid_search,south
C00320,2021-09-25,organic,west
C00321,2021-03-31,affiliate,south
C00322,2021-12-30,paid_search,central
C00323,2020-12-10,affiliate,central
C00324,2021-03-23,organic,north
C00325,2020-11-17,paid_search,south
C00326,2021-10-11,organic,central
C00327,2021-08-30,affiliate,north
C00328,2021-10-25,organic,west
C00329,2021-01-03,referral,central
C00330,2021-07-31,organic,north
C00331,2020-09-18,paid_search,central
C00332,2020-12-02,organic,west
C00333,2021-07-08,paid_search,west
C00334,2020-02-29,paid_search,central
C00335,2021-06-02,paid_search,west
C00336,2020-01-12,organic,west
C00337,2021-02-27,organic,west
C00338,2020-12-14,organic,west
C00339,2020-12-08,referral,central
C00340,2020-12-26,paid_search,south
C00341,2020-12-25,organic,central
C00342,2020-10-24,referral,south
C00343,2020-11-25,organic,north
C00344,2021-02-18,paid_search,south
C00345,2021-07-11,affiliate,west
C00346,2021-02-07,referral,central
C00347,2021-04-14,affiliate,west
C00348,2021-09-02,paid_search,central
C00349,2021-12-23,referral,north
C00350,2020-03-20,organic,north
C00351,2021-06-04,referral,south
C00352,2020-06-13,referral,central
C00353,2020-05-23,referral,central
C00354,2021-08-01,organic,south
C00355,2020-02-20,organic,central
C00356,2021-09-10,affiliate,central
C00357,2021-07-16,paid_search,west
C00358,2021-12-27,paid_search,south
C00359,2021-05-02,referral,south
C00360,2021-09-29,paid_search,central
C00361,2020-03-27,organic,west
C00362,2021-10-11,paid_search,central
C00363,2020-04-27,organic,central
C00364,2020-08-17,organic,north
C00365,2020-04-03,organic,central
C00366,2020-10-20,affiliate,south
C00367,2021-06-30,affiliate,south
C00368,2020-07-14,paid_search,central
C00369,2021-08-23,paid_search,north
C00370,2021-03-18,affiliate,south
C00371,2021-04-04,affiliate,west
C00372,2021-11-16,referral,central
C00373,2020-11-11,paid_search,north
C00374,2020-09-08,affiliate,central
C00375,2021-12-27,paid_search,central
C00376,2021-02-10,paid_search,central
C00377,2021-03-24,referral,central
C00378,2020-08-04,paid_search,south
C00379,2020-06-06,paid_search,central
C00380,2020-05-03,organic,central
C00381,2020-06-12,paid_search,north
C00382,2020-05-22,paid_search,west
C00383,2021-06-29,affiliate,central
C00384,2020-02-12,paid_search,central
C00385,2021-04-04,organic,north
C00386,2021-11-23,referral,south
C00387,2021-07-12,organic,west
C00388,2020-10-21,referral,north
C00389,2020-02-13,organic,north
C00390,2021-08-31,paid_search,north
C00391,2020-01-03,paid_search,south
C00392,2021-05-12,affiliate,west
C00393,2021-05-04,organic,central
C00394,2020-05-20,referral,central
C00395,2021-06-24,paid_search,south
C00396,2020-05-08,paid_search,south
C00397,2020-06-13,paid_search,central
C00398,2021-08-15,organic,north
C00399,2021-12-15,paid_search,central
C00400,2020-07-12,organic,south
C00401,2021-11-03,organic,south
C00402,2021-10-28,paid_search,south
C00403,2021-07-15,paid_search,west
C00404,2020-04-12,organic,central
C00405,2020-08-06,organic,central
C00406,2021-05-09,organic,north
C00407,2021-12-30,organic,west
C00408,2021-08-17,paid_search,central
C00409,2020-11-02,organic,central
C00410,2020-06-20,referral,north
C00411,2021-12-02,organic,south
C00412,2020-07-20,organic,south
C00413,2020-09-06,referral,south
C00414,2021-12-05,organic,north
C00415,2021-02-14,paid_search,west
C00416,2020-07-12,referral,south
C00417,2020-01-04,referral,south
C00418,2020-11-09,affiliate,south
C00419,2021-12-20,organic,west
C00420,2020-11-11,paid_search,west
C00421,2021-05-25,referral,south
C00422,2020-07-03,referral,central
C00423,2021-07-20,organic,central
C00424,2021-07-20,paid_search,south
C00425,2021-03-20,organic,south
C00426,2021-07-17,organic,north
C00427,2021-02-26,affiliate,north
C00428,2020-10-03,organic,west
C00429,2021-06-22,organic,west
C00430,2021-09-01,organic,west
C00431,2021-09-05,paid_search,central
C00432,2020-06-04,organic,south
C00433,2021-05-08,paid_search,west
C00434,2020-01-04,organic,central
C00435,2021-02-21,referral,north
C00436,2021-02-20,organic,west
C00437,2020-09-22,paid_search,north
C00438,2021-12-26,organic,south
C00439,2021-10-06,organic,south
C00440,2020-01-29,organic,south
C00441,2020-06-01,organic,central
C00442,2020-05-31,organic,south
C00443,2021-10-17,paid_search,north
C00444,2021-01-13,affiliate,west
C00445,2021-06-16,organic,north
C00446,2021-08-14,paid_search,south
C00447,2021-07-14,paid_search,south
C00448,2020-03-06,organic,north
C00449,2020-04-12,paid_search,north
C00450,2020-10-15,organic,south
C00451,2020-09-04,organic,north
C00452,2021-06-29,paid_search,north
C00453,2020-04-24,referral,central
C00454,2020-09-28,referral,west
C00455,2020-06-21,referral,central
C00456,2020-05-17,paid_search,central
C00457,2020-05-06,organic,west
C00458,2020-05-22,organic,central
C00459,2021-02-15,organic,central
C00460,2020-10-26,organic,central
C00461,2020-11-13,organic,central
C00462,2020-12-15,paid_search,central
C00463,2021-06-24,organic,south
C00464,2021-09-21,organic,north
C00465,2021-01-19,affiliate,south
C00466,2021-04-13,organic,north
C00467,2021-06-23,referral,central
C00468,2021-05-18,organic,north
C00469,2020-04-08,paid_search,central
C00470,2021-12-18,organic,south
C00471,2020-04-30,paid_search,central
C00472,2020-10-27,organic,north
C00473,2021-04-21,organic,north
C00474,2020-10-21,paid_search,south
C00475,2020-06-26,organic,central
C00476,2021-11-05,organic,south
C00477,2020-02-22,referral,central
C00478,2020-06-28,organic,north
C00479,2021-12-25,paid_search,south
C00480,2021-06-16,paid_search,central
C00481,2020-03-04,organic,north
C00482,2021-07-04,paid_search,west
C00483,2021-12-08,organic,north
C00484,2020-03-12,affiliate,central
C00485,2020-10-29,organic,central
C00486,2020-12-07,organic,central
C00487,2020-04-05,organic,south
C00488,2020-05-26,referral,north
C00489,2020-05-06,affiliate,west
C00490,2020-05-15,referral,south
C00491,2020-10-21,affiliate,west
C00492,2020-12-04,affiliate,south
C00493,2020-06-22,paid_search,west
C00494,2020-07-30,referral,south
C00495,2020-05-20,paid_search,central
C00496,2021-08-04,organic,central
C00497,2020-06-03,paid_search,south
C00498,2021-10-24,paid_search,central
C00499,2021-01-28,organic,south
C00500,2021-08-08,paid_search,north
C00501,2021-04-09,organic,west
C00502,2020-07-13,referral,north
C00503,2021-03-14,paid_search,west
C00504,2020-07-19,affiliate,north
C00505,2020-03-27,paid_search,north
C00506,2020-07-04,affiliate,south
C00507,2020-07-20,organic,south
C00508,2020-04-08,referral,south
C00509,2020-01-18,paid_search,west
C00510,2021-11-19,organic,central
C00511,2021-01-09,organic,west
C00512,2020-10-20,organic,central
C00513,2021-11-09,paid_search,central
C00514,2020-06-13,affiliate,central
C00515,2020-10-21,referral,north
C00516,2021-09-10,affiliate,central
C00517,2021-04-06,paid_search,south
C00518,2020-10-18,paid_search,north
C00519,2020-07-05,affiliate,west
C00520,2020-01-26,referral,central
C00521,2020-03-03,organic,north
C00522,2020-04-28,referral,south
C00523,2021-07-28,paid_search,north
C00524,2021-04-11,affiliate,north
C00525,2020-11-12,referral,south
C00526,2021-07-25,affiliate,north
C00527,2020-04-27,organic,north
C00528,2020-06-02,paid_search,south
C00529,2020-10-13,organic,north
C00530,2021-10-31,affiliate,south
C00531,2021-03-24,organic,south
C00532,2021-09-13,affiliate,north
C00533,2020-06-30,referral,central
C00534,2021-09-11,organic,north
C00535,2020-02-22,paid_search,south
C00536,2020-06-15,paid_search,north
C00537,2021-01-16,paid_search,west
C00538,2020-02-06,organic,north
C00539,2021-09-18,organic,south
C00540,2021-09-25,paid_search,north
C00541,2021-01-30,paid_search,north
C00542,2020-08-11,paid_search,central
C00543,2020-03-13,organic,central
C00544,2021-03-27,paid_search,west
C00545,2021-01-27,paid_search,north
C00546,2021-07-08,organic,north
C00547,2021-03-15,affiliate,central
C00548,2020-04-03,organic,central
C00549,2020-03-29,paid_search,west
C00550,2021-07-24,referral,west
C00551,2020-04-26,paid_search,west
C00552,2021-11-16,paid_search,north
C00553,2020-03-18,organic,central
C00554,2021-06-15,organic,south
C00555,2021-12-12,organic,central
C00556,2020-11-18,affiliate,south
C00557,2020-02-11,referral,north
C00558,2021-10-01,organic,central
C00559,2020-05-16,organic,west
C00560,2021-01-20,organic,central
C00561,2021-12-19,paid_search,west
C00562,2021-06-27,paid_search,central
C00563,2020-02-03,affiliate,north
C00564,2021-08-21,referral,central
C00565,2020-04-27,organic,north
C00566,2021-07-01,affiliate,central
C00567,2021-03-29,paid_search,north
C00568,2020-07-29,organic,south
C00569,2020-11-05,referral,west
C00570,2020-03-27,organic,central
C00571,2021-12-21,affiliate,north
C00572,2020-06-22,affiliate,central
C00573,2020-08-13,referral,south
C00574,2021-01-02,paid_search,south
C00575,2021-05-05,organic,north
C00576,2021-01-03,affiliate,central
C00577,2021-01-03,affiliate,central
C00578,2021-03-01,paid_search,central
C00579,2021-09-18,affiliate,north
C00580,2020-10-15,organic,west
C00581,2021-08-30,paid_search,north
C00582,2021-07-28,referral,north
C00583,2021-12-02,organic,north
C00584,2021-10-28,paid_search,central
C00585,2021-08-05,referral,central
C00586,2020-06-29,affiliate,central
C00587,2021-07-19,referral,central
C00588,2021-06-21,paid_search,south
C00589,2020-07-30,referral,central
C00590,2021-05-09,organic,west
C00591,2020-07-03,paid_search,central
C00592,2021-01-16,paid_search,north
C00593,2021-08-04,affiliate,west
C00594,2020-05-17,referral,south
C00595,2020-09-02,affiliate,central
C00596,2021-08-03,paid_search,west
C00597,2020-11-27,paid_search,central
C00598,2021-12-02,paid_search,central
C00599,2020-01-06,paid_search,west
C00600,2021-06-10,organic,south
C00601,2021-08-17,paid_search,central
C00602,2021-11-01,referral,south
C00603,2020-04-24,affiliate,central
C00604,2021-12-19,affiliate,north
C00605,2020-10-13,paid_search,west
C00606,2020-09-13,paid_search,central
C00607,2020-09-16,organic,south
C00608,2021-04-10,paid_search,south
C00609,2021-04-26,paid_search,central
C00610,2020-12-11,organic,central
C00611,2020-02-21,organic,west
C00612,2021-12-21,affiliate,south
C00613,2020-06-11,paid_search,south
C00614,2020-03-09,paid_search,central
C00615,2021-03-12,organic,central
C00616,2020-10-28,paid_search,north
C00617,2021-03-25,paid_search,central
C00618,2021-10-01,paid_search,north
C00619,2020-03-12,paid_search,south
C00620,2020-07-26,organic,west
C00621,2021-01-12,referral,central
C00622,2021-07-29,organic,central
C00623,2021-03-14,paid_search,south
C00624,2020-10-06,organic,north
C00625,2021-03-21,paid_search,west
C00626,2021-12-16,organic,central
C00627,2020-12-16,referral,north
C00628,2021-10-06,paid_search,north
C00629,2021-07-23,paid_search,west
C00630,2020-08-07,organic,central
C00631,2020-07-01,organic,south
C00632,2021-07-16,paid_search,north
C00633,2020-05-31,paid_search,north
C00634,2020-09-02,paid_search,west
C00635,2020-06-20,referral,north
C00636,2021-03-18,affiliate,north
C00637,2020-08-02,referral,central
C00638,2021-04-25,organic,west
C00639,2021-11-13,affiliate,central
C00640,2021-08-28,paid_search,north
C00641,2021-11-23,paid_search,west
C00642,2020-01-18,referral,south
C00643,2020-11-28,affiliate,west
C00644,2020-06-09,referral,south
C00645,2021-11-01,affiliate,south
C00646,2021-06-03,organic,central
C00647,2020-08-21,affiliate,central
C00648,2021-02-15,paid_search,south
C00649,2021-03-17,referral,south
C00650,2020-12-27,affiliate,west
C00651,2020-12-12,organic,central
C00652,2020-02-10,organic,central
C00653,2020-11-26,organic,central
C00654,2020-09-11,paid_search,south
C00655,2021-08-20,organic,central
C00656,2021-09-23,affiliate,south
C00657,2021-07-01,paid_search,central
C00658,2020-01-23,referral,north
C00659,2021-09-06,organic,central
C00660,2020-10-16,paid_search,south
C00661,2020-10-30,organic,west
C00662,2021-11-20,referral,central
C00663,2021-09-25,organic,central
C00664,2020-02-07,organic,central
C00665,2020-09-19,organic,central
C00666,2021-07-01,affiliate,north
C00667,2021-01-28,organic,west
C00668,2020-07-07,paid_search,west
C00669,2021-01-18,affiliate,central
C00670,2021-09-24,affiliate,central
C00671,2020-06-12,organic,north
C00672,2021-06-28,organic,south
C00673,2021-06-20,paid_search,central
C00674,2021-10-08,organic,south
C00675,2020-08-05,affiliate,north
C00676,2020-06-06,organic,south
C00677,2021-02-03,paid_search,central
C00678,2021-01-22,organic,south
C00679,2020-10-25,paid_search,south
C00680,2021-07-22,organic,north
C00681,2021-08-06,affiliate,central
C00682,2020-06-28,organic,west
C00683,2021-08-03,referral,south
C00684,2020-06-17,affiliate,north
C00685,2020-10-24,organic,central
C00686,2020-01-20,organic,central
C00687,2020-09-05,organic,south
C00688,2021-11-30,organic,south
C00689,2020-11-19,organic,north
C00690,2021-06-02,referral,south
C00691,2020-03-19,paid_search,south
C00692,2021-04-08,organic,south
C00693,2020-09-28,paid_search,north
C00694,2021-06-27,organic,central
C00695,2021-11-08,referral,central
C00696,2021-01-23,organic,north
C00697,2020-03-16,affiliate,central
C00698,2020-12-13,affiliate,north
C00699,2020-03-30,organic,north
C00700,2020-11-24,organic,south
C00701,2020-02-14,paid_search,central
C00702,2021-04-12,referral,south
C00703,2020-08-14,paid_search,north
C00704,2020-05-27,affiliate,central
C00705,2020-01-13,affiliate,central
C00706,2021-10-10,affiliate,south
C00707,2021-09-03,paid_search,south
C00708,2021-08-15,paid_search,central
C00709,2020-02-12,affiliate,south
C00710,2020-09-12,organic,north
C00711,2021-12-10,referral,central
C00712,2021-02-26,organic,north
C00713,2020-04-03,organic,central
C00714,2020-04-12,affiliate,north
C00715,2020-07-11,organic,west
C00716,2021-12-10,organic,central
C00717,2020-05-03,organic,south
C00718,2021-10-21,paid_search,central
C00719,2021-05-09,referral,central
C00720,2021-11-03,organic,north
C00721,2021-08-25,organic,west
C00722,2020-08-30,paid_search,south
C00723,2021-08-27,referral,north
C00724,2020-05-03,organic,south
C00725,2020-07-31,referral,central
C00726,2020-06-03,referral,north
C00727,2020-04-07,organic,central
C00728,2020-03-06,affiliate,north
C00729,2020-05-16,affiliate,north
C00730,2020-03-28,paid_search,south
C00731,2020-10-04,paid_search,central
C00732,2020-02-22,affiliate,west
C00733,2020-02-14,affiliate,south
C00734,2021-12-23,affiliate,west
C00735,2020-03-05,referral,south
C00736,2020-02-24,paid_search,west
C00737,2020-01-22,affiliate,central
C00738,2020-04-06,referral,central
C00739,2021-01-20,organic,central
C00740,2021-08-26,organic,west
C00741,2021-06-20,paid_search,north
C00742,2021-02-27,referral,central
C00743,2020-03-03,organic,south
C00744,2021-07-19,affiliate,central
C00745,2020-01-28,organic,west
C00746,2021-04-05,organic,central
C00747,2020-10-25,paid_search,north
C00748,2021-10-05,organic,central
C00749,2020-08-12,referral,central
C00750,2021-04-11,organic,north
C00751,2020-11-17,referral,north
C00752,2021-01-16,organic,north
C00753,2021-11-16,referral,south
C00754,2021-06-04,paid_search,west
C00755,2020-10-29,organic,central
C00756,2020-11-22,organic,north
C00757,2021-05-29,organic,central
C00758,2020-09-09,paid_search,west
C00759,2020-05-02,affiliate,south
C00760,2020-12-07,paid_search,central
C00761,2020-02-19,paid_search,north
C00762,2020-05-03,paid_search,west
C00763,2020-11-03,paid_search,west
C00764,2021-08-04,affiliate,north
C00765,2021-07-24,paid_search,west
C00766,2020-07-09,affiliate,north
C00767,2020-11-04,referral,north
C00768,2020-04-22,organic,south
C00769,2021-07-05,organic,central
C00770,2020-06-28,organic,central
C00771,2021-08-06,paid_search,west
C00772,2021-09-06,organic,west
C00773,2021-05-18,referral,north
C00774,2020-08-29,paid_search,south
C00775,2021-11-26,paid_search,south
C00776,2021-05-15,affiliate,central
C00777,2021-04-16,organic,west
C00778,2021-09-17,affiliate,south
C00779,2021-10-05,organic,north
C00780,2020-02-26,paid_search,north
C00781,2021-10-05,referral,west
C00782,2021-07-12,affiliate,west
C00783,2020-05-30,referral,north
C00784,2020-08-12,paid_search,north
C00785,2021-07-03,affiliate,south
C00786,2020-06-07,paid_search,north
C00787,2020-11-26,paid_search,north
C00788,2021-05-17,organic,west
C00789,2021-04-19,organic,south
C00790,2021-10-26,paid_search,west
C00791,2020-03-22,organic,south
C00792,2020-08-03,affiliate,central
C00793,2021-12-19,referral,west
C00794,2021-02-19,referral,central
C00795,2020-06-30,organic,central
C00796,2020-07-30,referral,west
C00797,2020-09-04,organic,south
C00798,2021-02-08,paid_search,west
C00799,2020-07-26,referral,north
C00800,2021-03-29,organic,west
C00801,2020-11-21,organic,south
C00802,2021-03-21,organic,south
C00803,2020-04-23,paid_search,west
C00804,2021-03-31,affiliate,central
C00805,2021-11-06,organic,south
C00806,2020-04-08,organic,south
C00807,2020-08-27,paid_search,south
C00808,2021-05-21,organic,west
C00809,2021-03-26,affiliate,south
C00810,2021-05-07,referral,north
C00811,2021-02-12,affiliate,north
C00812,2021-05-13,referral,west
C00813,2021-03-20,paid_search,west
C00814,2020-02-24,referral,west
C00815,2021-07-02,organic,north
C00816,2020-11-22,organic,central
C00817,2020-02-07,affiliate,south
C00818,2020-10-25,organic,south
C00819,2020-11-13,referral,north
C00820,2020-03-04,affiliate,south
C00821,2021-12-28,referral,north
C00822,2020-06-11,organic,central
C00823,2020-08-29,paid_search,north
C00824,2020-11-17,affiliate,north
